Unnamed: 0,T2M,ALLSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,real_index
2022-01-01 08:00:00+08:00,-9.93,80.62,0.1,82.07,63
2022-01-01 09:00:00+08:00,-7.42,228.07,0.1,74.09,63
2022-01-01 10:00:00+08:00,-4.39,334.39,0.06,68.02,63
2022-01-01 11:00:00+08:00,-1.88,425.64,0.08,64.43,63
2022-01-01 12:00:00+08:00,-0.67,430.2,0.05,63.75,63
2022-01-01 13:00:00+08:00,-0.46,411.34,0.08,66.07,63
2022-01-01 14:00:00+08:00,-1.45,331.36,0.09,71.09,63
2022-01-01 15:00:00+08:00,-3.19,195.08,0.1,78.28,63
2022-01-01 16:00:00+08:00,-5.45,41.73,0.1,86.9,63
2022-01-01 17:00:00+08:00,-7.38,0,-999,-999,63
2022-01-01 18:00:00+08:00,-8.6,0,-999,-999,63
2022-01-01 19:00:00+08:00,-9.81,0,-999,-999,63
2022-01-01 20:00:00+08:00,-11.16,0,-999,-999,63
2022-01-01 21:00:00+08:00,-12.34,0,-999,-999,63
2022-01-01 22:00:00+08:00,-13.24,0,-999,-999,63
2022-01-01 23:00:00+08:00,-13.94,0,-999,-999,63
2022-01-02 00:00:00+08:00,-14.59,0,-999,-999,63
2022-01-02 01:00:00+08:00,-15.17,0,-999,-999,63
2022-01-02 02:00:00+08:00,-15.36,0,-999,-999,63
2022-01-02 03:00:00+08:00,-15.41,0,-999,-999,63
2022-01-02 04:00:00+08:00,-14.85,0,-999,-999,63
2022-01-02 05:00:00+08:00,-14.1,0,-999,-999,63
2022-01-02 06:00:00+08:00,-13.99,0,-999,-999,63
2022-01-02 07:00:00+08:00,-14.52,9.72,0.08,89.38,63
2022-01-02 08:00:00+08:00,-13.77,119.85,0.11,82.07,63
2022-01-02 09:00:00+08:00,-10.21,273.7,0.1,74.08,63
2022-01-02 10:00:00+08:00,-7.27,410.77,0.16,67.98,63
2022-01-02 11:00:00+08:00,-5.2,483.23,0.12,64.36,63
2022-01-02 12:00:00+08:00,-3.95,491.65,0.09,63.66,63
2022-01-02 13:00:00+08:00,-3.38,409.97,0.08,65.96,63
2022-01-02 14:00:00+08:00,-3.47,308.8,0.07,70.97,63
2022-01-02 15:00:00+08:00,-4.35,170.73,0.1,78.15,63
2022-01-02 16:00:00+08:00,-7.58,37.18,0.1,86.79,63
2022-01-02 17:00:00+08:00,-10.06,0,-999,-999,63
